task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	cc/5f9a84	457321	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (7)	COMPLETED	0	2025-04-10 09:26:43.910	18m 3s	17m 58s	116.6%	35.1 GB	35.9 GB	40.2 GB	12.3 GB
1	c2/b02981	457694	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (1)	COMPLETED	0	2025-04-10 09:26:45.103	20m 46s	20m 43s	139.9%	35.2 GB	35.9 GB	44.7 GB	17 GB
3	27/c5a0f7	458465	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (3)	COMPLETED	0	2025-04-10 09:26:46.679	21m 19s	21m 16s	153.7%	35.1 GB	35.9 GB	47.8 GB	20.1 GB
21	20/1a9bbb	545278	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (1)	COMPLETED	0	2025-04-10 09:44:48.158	5m 6s	4m 45s	244.3%	12.2 GB	19.9 GB	7.5 GB	5.8 GB
24	c7/70846d	588095	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (1)	COMPLETED	0	2025-04-10 09:49:54.985	2m 35s	2m 32s	112.0%	1.9 GB	7.4 GB	1.8 GB	1.6 GB
22	72/4366b0	560023	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (2)	COMPLETED	0	2025-04-10 09:47:32.326	6m 46s	6m 43s	241.4%	20.6 GB	23.7 GB	11 GB	8.5 GB
23	38/627f48	567414	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (3)	COMPLETED	0	2025-04-10 09:48:06.656	8m 16s	8m 13s	233.8%	19.9 GB	22.5 GB	14.3 GB	11.4 GB
25	f6/4ccffa	634381	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (2)	COMPLETED	0	2025-04-10 09:54:18.882	3m 2s	2m 59s	130.9%	2.8 GB	7.4 GB	1.8 GB	1.6 GB
26	e0/788ede	653076	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (3)	COMPLETED	0	2025-04-10 09:56:23.940	6m 25s	6m 23s	124.5%	5.3 GB	7.4 GB	2.9 GB	2.8 GB
6	c0/47ba1a	567048	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (6)	COMPLETED	0	2025-04-10 09:48:05.645	25m 21s	25m 14s	114.8%	35.1 GB	35.9 GB	45 GB	17.2 GB
