task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
18	26/28f9a9	3962087	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (18)	COMPLETED	0	2025-04-11 05:55:43.608	1h 25m 11s	1h 24m 52s	38.9%	35.9 GB	37 GB	49.9 GB	22.1 GB
34	6a/3d8d21	4103274	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (8)	COMPLETED	0	2025-04-11 06:17:19.935	1h 8m 43s	1h 8m 40s	28.0%	22.5 GB	40.8 GB	13 GB	10 GB
30	f0/c254a4	3941264	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (6)	COMPLETED	0	2025-04-11 05:52:45.259	1h 33m 52s	1h 33m 34s	21.5%	24 GB	41.8 GB	13.1 GB	10.2 GB
29	55/4e2414	3903918	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (5)	COMPLETED	0	2025-04-11 05:46:11.250	1h 41m 20s	1h 40m 53s	21.2%	30.3 GB	43.1 GB	15 GB	11.6 GB
48	59/77383c	253026	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (7)	COMPLETED	0	2025-04-11 07:26:37.675	3m 5s	3m 3s	136.2%	2.2 GB	14.2 GB	2.6 GB	2.3 GB
47	da/bad991	242736	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (6)	COMPLETED	0	2025-04-11 07:26:03.976	5m 30s	5m 25s	113.5%	3.9 GB	14.3 GB	2.5 GB	2.3 GB
36	21/0ba5cd	100686	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (9)	COMPLETED	0	2025-04-11 07:01:49.113	31m 1s	30m 43s	65.9%	24.3 GB	40.7 GB	13.9 GB	10.7 GB
49	25/192a2a	271636	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (8)	COMPLETED	0	2025-04-11 07:27:32.059	9m 42s	9m 41s	122.9%	6.9 GB	14.3 GB	3.1 GB	3 GB
50	a4/2523d4	344033	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (9)	COMPLETED	0	2025-04-11 07:32:51.212	4m 47s	4m 45s	135.5%	3.6 GB	14.4 GB	2.8 GB	2.6 GB
38	2d/a1f4f2	242202	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (10)	COMPLETED	0	2025-04-11 07:26:02.971	15m 26s	15m 23s	80.6%	14.6 GB	37.4 GB	8.8 GB	6.7 GB
51	0d/c74f74	396464	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (10)	COMPLETED	0	2025-04-11 07:41:30.052	6m 58s	6m 56s	121.0%	6.3 GB	14.2 GB	2.3 GB	2.3 GB
42	6c/7ce2df	343520	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (13)	COMPLETED	0	2025-04-11 07:32:50.204	16m 54s	16m 51s	77.4%	20.9 GB	41.2 GB	9.2 GB	7.1 GB
40	26/77ef3e	270337	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (12)	COMPLETED	0	2025-04-11 07:27:31.052	22m 29s	22m 19s	86.8%	28.1 GB	44.1 GB	13.3 GB	10.3 GB
23	a6/d5ccb9	115445	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (23)	COMPLETED	0	2025-04-11 07:04:47.070	47m 14s	46m 49s	62.6%	35.8 GB	36.8 GB	48 GB	20.1 GB
52	3e/422972	437292	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (11)	COMPLETED	0	2025-04-11 07:49:44.564	2m 17s	2m 13s	124.3%	2.1 GB	14.2 GB	1.3 GB	1.1 GB
53	3f/3a2adb	442257	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (12)	COMPLETED	0	2025-04-11 07:50:01.389	3m 7s	3m 5s	130.8%	2.8 GB	14.2 GB	2.2 GB	2 GB
22	3a/0b8489	183706	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (22)	COMPLETED	0	2025-04-11 07:20:55.408	49m 48s	49m 19s	60.0%	35.8 GB	36.8 GB	45.4 GB	17.6 GB
44	60/35d9e4	395932	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (15)	COMPLETED	0	2025-04-11 07:41:29.046	42m 29s	42m 26s	45.5%	23.6 GB	40.5 GB	13.7 GB	10.6 GB
56	6a/470595	602093	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (13)	COMPLETED	0	2025-04-11 08:23:58.519	6m 36s	6m 28s	108.7%	5 GB	14.3 GB	2.6 GB	2.5 GB
4	1c/987c59	183688	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (4)	COMPLETED	0	2025-04-11 07:20:55.399	1h 12m 51s	1h 12m 27s	46.8%	35.8 GB	36.9 GB	48.7 GB	20.9 GB
15	73/d2d39e	460903	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (15)	COMPLETED	0	2025-04-11 07:52:00.826	46m 14s	46m 11s	85.8%	35.9 GB	36.9 GB	48.3 GB	20.9 GB
14	c8/51d8bd	183695	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (14)	COMPLETED	0	2025-04-11 07:20:55.404	1h 18m 25s	1h 18m 1s	54.3%	35.9 GB	37 GB	52.2 GB	24.5 GB
11	bc/d5f434	183672	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (11)	COMPLETED	0	2025-04-11 07:20:55.170	1h 18m 57s	1h 18m 33s	50.9%	35.9 GB	37 GB	51 GB	23.7 GB
46	7b/86c47c	441648	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (17)	COMPLETED	0	2025-04-11 07:50:00.384	50m 46s	50m 43s	44.0%	25 GB	40.9 GB	14.5 GB	11.1 GB
16	51/49bfb3	547557	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (16)	COMPLETED	0	2025-04-11 08:10:43.829	35m 50s	35m 26s	105.9%	35.9 GB	36.9 GB	51 GB	23.4 GB
45	e6/27e29e	437285	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (16)	COMPLETED	0	2025-04-11 07:49:44.561	57m 19s	57m 1s	44.3%	32.2 GB	44.1 GB	16.5 GB	12.7 GB
61	fe/49e545	662713	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (14)	COMPLETED	0	2025-04-11 08:40:46.073	7m 27s	7m 22s	113.9%	5.7 GB	14.2 GB	2.6 GB	2.5 GB
43	dc/2754e8	602068	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (14)	COMPLETED	0	2025-04-11 08:23:58.503	24m 31s	24m 19s	71.8%	24 GB	42 GB	12.1 GB	9.4 GB
54	4b/9611d3	662706	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (18)	COMPLETED	0	2025-04-11 08:40:46.069	10m 24s	10m 9s	175.9%	20.5 GB	39.6 GB	12.3 GB	9.5 GB
64	51/8d7936	698324	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (16)	COMPLETED	0	2025-04-11 08:48:30.707	2m 55s	2m 48s	139.4%	2.2 GB	14.3 GB	2.1 GB	1.9 GB
