task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
29	45/0df1c6	149557	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (29)	COMPLETED	0	2025-04-10 14:12:33.710	24m 43s	24m 39s	148.7%	35.8 GB	36.8 GB	46 GB	18.3 GB
2	d7/61832e	149524	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (2)	COMPLETED	0	2025-04-10 14:12:33.582	27m 53s	27m 50s	129.5%	35.8 GB	36.9 GB	46.6 GB	18.9 GB
25	cc/75670d	147490	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (25)	COMPLETED	0	2025-04-10 14:12:29.083	29m 4s	29m 2s	144.9%	35.8 GB	36.8 GB	48.6 GB	20.9 GB
31	9e/0e5d02	148326	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (31)	COMPLETED	0	2025-04-10 14:12:31.354	36m 24s	36m 20s	188.4%	36.1 GB	37.3 GB	58.5 GB	30 GB
32	1f/021104	150132	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (32)	COMPLETED	0	2025-04-10 14:12:34.035	55m 49s	55m 43s	182.5%	36.2 GB	37.4 GB	66.3 GB	37.7 GB
42	17/d79897	326947	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (2)	COMPLETED	0	2025-04-10 14:40:27.482	36m 15s	36m 11s	45.4%	20.4 GB	39.9 GB	11.9 GB	9.1 GB
8	d4/e3e419	307437	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (8)	COMPLETED	0	2025-04-10 14:37:16.996	40m 13s	39m 54s	65.4%	35.7 GB	36.7 GB	43.5 GB	15.8 GB
46	3a/bb6eb2	546296	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (1)	COMPLETED	0	2025-04-10 15:16:43.756	5m 14s	5m 10s	108.7%	3.5 GB	14.2 GB	2.2 GB	2.1 GB
30	a0/05d72e	326348	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (30)	COMPLETED	0	2025-04-10 14:40:26.476	42m 49s	42m 43s	98.4%	35.8 GB	36.7 GB	48.9 GB	21.3 GB
23	de/b0a137	339003	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (23)	COMPLETED	0	2025-04-10 14:41:33.327	41m 43s	41m 40s	171.5%	35.9 GB	37 GB	52.4 GB	24 GB
41	57/d7bb4e	307842	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (1)	COMPLETED	0	2025-04-10 14:37:18.003	53m 52s	53m 35s	30.3%	21.2 GB	40.6 GB	11.7 GB	9 GB
43	ed/dc0e6a	339715	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (3)	COMPLETED	0	2025-04-10 14:41:34.333	53m 33s	53m 31s	32.5%	21.8 GB	39.9 GB	12.8 GB	9.8 GB
50	86/6c4828	661812	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (2)	COMPLETED	0	2025-04-10 15:31:11.371	4m 59s	4m 55s	116.1%	3.6 GB	14.3 GB	2.2 GB	2.1 GB
51	30/ba4ae8	691856	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (3)	COMPLETED	0	2025-04-10 15:35:08.597	8m 19s	8m 15s	121.0%	5.8 GB	14.2 GB	3 GB	2.8 GB
6	e5/9c6796	596752	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (6)	COMPLETED	0	2025-04-10 15:23:15.568	34m 35s	34m 20s	88.3%	35.7 GB	36.7 GB	45 GB	17.2 GB
44	8a/90dd64	413106	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (4)	COMPLETED	0	2025-04-10 14:48:55.034	1h 23m 57s	1h 23m 50s	28.9%	26.4 GB	41.5 GB	17.7 GB	13.6 GB
47	14/a15d2c	661282	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (6)	COMPLETED	0	2025-04-10 15:31:10.367	43m 22s	43m 19s	32.2%	19.4 GB	38.9 GB	10.3 GB	7.9 GB
53	64/3c797e	835872	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (4)	COMPLETED	0	2025-04-10 16:12:51.755	3m 11s	3m 8s	143.0%	2.1 GB	14.2 GB	3.1 GB	2.7 GB
54	cb/09bede	848451	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (5)	COMPLETED	0	2025-04-10 16:14:33.693	5m 12s	5m 10s	120.8%	3.7 GB	14.2 GB	2.3 GB	2.1 GB
24	09/346578	413098	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (24)	COMPLETED	0	2025-04-10 14:48:55.028	1h 32m 22s	1h 32m 14s	71.1%	36 GB	37.2 GB	58.8 GB	30.3 GB
7	21/702a9c	554674	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (7)	COMPLETED	0	2025-04-10 15:17:30.224	1h 13m 42s	1h 13m 37s	32.0%	35.7 GB	36.7 GB	40.2 GB	12.3 GB
19	b7/6a0aa1	596944	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (19)	COMPLETED	0	2025-04-10 15:23:15.907	1h 14m 9s	1h 13m 57s	92.5%	35.9 GB	37 GB	56.9 GB	28.4 GB
21	6a/352627	505251	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (21)	COMPLETED	0	2025-04-10 15:08:23.113	1h 49m 56s	1h 49m 38s	70.0%	36.1 GB	37.3 GB	62.6 GB	34 GB
48	35/9ba7f2	691254	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (7)	COMPLETED	0	2025-04-10 15:35:07.592	1h 52m 17s	1h 51m 57s	17.5%	26.9 GB	43.2 GB	13.5 GB	10.3 GB
1	b6/f96e43	887925	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (1)	COMPLETED	0	2025-04-10 16:21:16.562	1h 14m 43s	1h 14m 32s	33.7%	35.7 GB	36.8 GB	44.7 GB	17 GB
